"Function"	"A1HF"	"A1LF"	"A2HF"	"A2LF"	"B1HF"	"B1LF"	"B2HF"	"B2LF"	"C1HF"	"C1LF"	"C2HF"	"C2LF"
"4-hydroxy-4-methyl-2-oxoglutarate aldolase activity [GO:0047443]"	0	0	0	0	0	0	0	0	0	0	0	1
"4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]"	36	56	28	124	77	95	38	103	68	32	52	59
"4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]"	73	71	53	161	95	112	68	148	91	32	96	81
"4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]"	0	0	0	0	1	0	0	0	0	0	1	0
"4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]"	0	0	0	0	1	0	0	0	0	0	1	0
"4-hydroxybenzoyl-CoA reductase activity [GO:0018525]"	3	9	2	14	7	6	2	10	9	2	6	4
"4-hydroxybenzoyl-CoA thioesterase activity [GO:0018739]"	0	0	0	0	0	1	0	0	0	0	0	0
"4-hydroxybutanoyl-CoA dehydratase activity [GO:0043721]"	2	6	1	10	3	4	5	6	2	3	2	4
"4-hydroxyphenylacetate decarboxylase activity [GO:0043722]"	5	8	12	28	14	26	12	29	12	6	27	5
"4-hydroxyphenylpyruvate dioxygenase activity [GO:0003868]"	0	1	0	0	1	1	0	1	1	0	3	3
"4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570]"	4	4	1	7	5	6	3	9	4	3	4	8
"4-oxalmesaconate hydratase activity [GO:0047584]"	1	0	0	0	1	0	0	0	0	0	0	1
"4-phosphoerythronate dehydrogenase activity [GO:0033711]"	5	7	3	4	7	9	7	9	6	8	7	5
"4-phytase activity [GO:0008707]"	1	0	1	1	1	1	1	1	1	1	1	1
"4-pyridoxolactonase activity [GO:0047585]"	0	1	0	0	0	1	0	1	1	1	0	0
"5-(carboxyamino)imidazole ribonucleotide mutase activity [GO:0034023]"	25	40	19	86	41	61	31	72	43	23	39	37
"5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028]"	6	7	3	6	3	9	5	7	4	4	5	11
"5-amino-4-imidazole carboxylate lyase activity [GO:0043727]"	3	5	1	0	2	1	7	3	4	10	4	6
"5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity [GO:0043726]"	1	1	1	1	1	1	1	1	1	1	2	1
"5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]"	49	53	38	142	85	104	56	130	72	35	77	72
"5-aminolevulinate synthase activity [GO:0003870]"	0	1	1	0	1	0	1	0	1	3	1	1
"5-aminovalerate transaminase activity [GO:0047589]"	0	0	0	0	0	0	1	0	0	0	0	1
"5-dehydro-2-deoxygluconokinase activity [GO:0047590]"	14	18	10	36	24	26	14	31	19	15	12	14
"5-deoxy-D-glucuronate isomerase activity [GO:0102482]"	0	1	0	2	0	0	1	0	0	1	1	0
"5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]"	0	7	1	0	3	0	7	2	3	7	8	7
"5-fluorocytosine deaminase activity [GO:0102480]"	1	5	0	8	8	5	3	6	5	1	2	7
"5-formyltetrahydrofolate cyclo-ligase activity [GO:0030272]"	20	31	17	72	49	69	29	64	40	17	35	31
"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]"	8	11	9	9	12	12	5	7	12	6	7	11
"5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]"	7	5	7	24	15	19	6	30	13	6	14	18
"5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase activity [GO:0103043]"	0	0	0	2	0	1	0	1	0	0	0	0
"5,10-methylenetetrahydrofolate-dependent tRNA (m5U54) methyltransferase activity [GO:0030698]"	20	13	16	58	45	51	32	74	37	11	33	32
"5,6-dimethylbenzimidazole synthase activity [GO:0102919]"	0	0	1	0	0	0	0	0	0	0	0	0
"5'-3' DNA helicase activity [GO:0043139]"	108	151	80	281	172	222	128	259	155	78	133	170
"5'-3' DNA/RNA helicase activity [GO:0033678]"	0	1	0	0	0	0	1	0	0	1	1	0
"5'-3' exodeoxyribonuclease activity [GO:0035312]"	0	2	0	0	1	0	1	0	0	2	0	0
"5'-3' exonuclease activity [GO:0008409]"	67	98	64	197	123	117	82	189	110	51	97	126
"5'-3' exoribonuclease activity [GO:0004534]"	49	97	53	162	111	145	60	157	98	37	81	79
"5'-3' RNA helicase activity [GO:0032574]"	1	1	1	1	2	1	5	1	3	3	3	5
"5'-deoxynucleotidase activity [GO:0002953]"	8	9	8	35	30	30	13	33	23	3	22	11
"5'-flap endonuclease activity [GO:0017108]"	8	20	6	33	12	27	14	31	15	12	26	26
"5'-methylthioadenosine deaminase activity [GO:0090614]"	2	7	2	16	10	16	12	17	11	3	10	11
"5'-nucleotidase activity [GO:0008253]"	25	56	27	81	42	55	32	68	37	35	48	43
"5S rRNA binding [GO:0008097]"	9	21	7	11	12	9	15	10	10	17	17	25
"6-aminohexanoate-cyclic-dimer hydrolase activity [GO:0019874]"	0	0	0	2	0	0	0	0	0	0	1	0
"6-aminohexanoate-dimer hydrolase activity [GO:0019875]"	3	2	1	2	3	5	2	3	3	0	5	2
"6-carboxy-5,6,7,8-tetrahydropterin synthase activity [GO:0070497]"	9	11	9	22	17	19	11	11	10	9	16	12
"6-carboxyhexanoate-CoA ligase activity [GO:0042410]"	2	4	2	8	2	7	1	7	3	5	3	4
"6-deoxy-6-sulfofructose kinase activity [GO:0061594]"	0	0	0	1	0	0	0	0	0	0	0	0
"6-hydroxynicotinate reductase activity [GO:0047595]"	0	0	0	1	0	0	0	0	0	0	0	0
"6-phospho-beta-galactosidase activity [GO:0033920]"	3	1	4	5	5	3	5	5	5	0	3	2
"6-phospho-beta-glucosidase activity [GO:0008706]"	17	31	10	45	23	38	9	32	20	5	24	25
"6-phosphofructo-2-kinase activity [GO:0003873]"	2	4	1	2	4	0	8	0	1	9	8	7
"6-phosphofructokinase activity [GO:0003872]"	105	169	100	371	229	260	151	326	188	93	204	178
"6-phosphogluconolactonase activity [GO:0017057]"	4	10	3	12	7	11	6	12	7	6	5	10
"6-pyruvoyltetrahydropterin synthase activity [GO:0003874]"	0	0	0	0	0	0	0	0	0	1	0	0
"6,7-dihydropteridine reductase activity [GO:0004155]"	0	0	0	1	0	1	0	0	0	0	0	0
"6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]"	12	12	12	38	19	25	16	29	20	7	17	19
"7S RNA binding [GO:0008312]"	42	69	45	144	96	109	68	129	82	30	81	80
"7SK snRNA binding [GO:0097322]"	0	1	0	0	0	0	3	0	0	3	3	1
"8-amino-7-oxononanoate synthase activity [GO:0008710]"	7	11	4	14	6	10	6	12	5	9	8	10
"8-hydroxy-2'-deoxyguanosine DNA binding [GO:1905773]"	0	0	0	0	0	0	0	0	0	1	0	0
"8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]"	3	6	0	16	4	15	5	12	6	2	5	6
"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]"	0	1	1	0	0	0	0	0	0	1	0	1
"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]"	16	25	8	70	30	50	23	50	36	8	32	32
"8-oxoguanine deaminase activity [GO:0102127]"	1	1	4	3	1	7	1	2	1	0	2	0
"ABC-type amino acid transporter activity [GO:0015424]"	64	80	57	187	123	140	84	163	107	41	104	78
"ABC-type bacteriocin transporter activity [GO:0043214]"	1	1	2	4	2	2	2	2	3	0	1	0
"ABC-type bile acid transporter activity [GO:0015432]"	0	1	0	0	1	1	0	0	0	0	0	0
"ABC-type carbohydrate transporter activity [GO:0043211]"	19	34	12	66	45	62	30	56	53	10	30	34
"ABC-type D-methionine transporter activity [GO:0033232]"	20	35	21	67	43	48	31	69	39	12	35	37
"ABC-type D-ribose transporter activity [GO:0015611]"	13	29	13	52	29	42	24	41	21	4	33	25
"ABC-type D-xylose transporter activity [GO:0015614]"	0	0	0	1	0	1	0	0	0	0	0	0
"ABC-type fatty-acyl-CoA transporter activity [GO:0015607]"	0	1	0	0	0	0	0	0	0	0	0	0
"ABC-type ferric iron transporter activity [GO:0015408]"	0	2	0	5	3	4	1	4	0	1	0	3
"ABC-type glutathione S-conjugate transporter activity [GO:0015431]"	0	2	0	0	0	0	0	0	0	0	0	1
"ABC-type glycerol-3-phosphate transporter activity [GO:0015430]"	0	0	0	0	0	1	0	0	0	0	0	0
"ABC-type heme transporter activity [GO:0015439]"	1	2	1	1	1	1	2	2	1	1	2	1
"ABC-type L-arabinose transporter activity [GO:0015612]"	0	0	0	1	0	0	0	0	0	0	0	0
"ABC-type peptide antigen transporter activity [GO:0015433]"	0	2	0	0	0	0	1	0	0	2	1	1
"ABC-type peptide transporter activity [GO:0015440]"	1	3	0	0	3	0	2	0	1	2	1	2
"ABC-type phosphonate transporter activity [GO:0015416]"	11	5	12	14	13	8	7	11	15	0	12	7
"ABC-type polyamine transporter activity [GO:0015417]"	6	5	3	14	10	9	5	18	9	5	8	3
"ABC-type protein transporter activity [GO:0015462]"	0	0	0	1	0	0	0	0	0	0	0	0
"ABC-type putrescine transporter activity [GO:0015594]"	40	54	26	112	65	86	33	102	50	24	56	41
"ABC-type sulfate transporter activity [GO:0015419]"	13	19	7	35	24	37	12	29	22	3	23	29
"ABC-type teichoic acid transporter activity [GO:0015438]"	4	0	1	2	4	2	1	1	1	2	3	2
"ABC-type thiosulfate transporter activity [GO:0102025]"	0	0	0	0	0	0	0	1	0	0	0	0
"ABC-type transporter activity [GO:0140359]"	0	2	0	0	0	0	0	0	0	0	0	0
"ABC-type vitamin B12 transporter activity [GO:0015420]"	43	39	40	120	92	79	50	106	85	16	90	60
"ABC-type xenobiotic transporter activity [GO:0008559]"	3	8	5	5	7	7	6	9	7	1	7	6
"abequosyltransferase activity [GO:0047600]"	0	0	0	0	0	1	0	0	0	0	1	1
"abscisic acid binding [GO:0010427]"	0	0	0	2	0	0	0	0	0	0	0	0
"Ac-Asp-Glu binding [GO:1904492]"	0	0	0	0	0	0	0	0	0	0	0	1
"acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]"	45	51	37	117	66	104	44	102	62	21	77	50
"acetate CoA-transferase activity [GO:0008775]"	47	35	36	107	67	73	60	112	70	27	59	74
"acetate kinase activity [GO:0008776]"	39	63	45	151	107	117	70	134	89	29	81	75
"acetate-CoA ligase (ADP-forming) activity [GO:0043758]"	2	4	2	3	2	2	4	4	2	1	3	2
"acetate-CoA ligase activity [GO:0003987]"	1	8	2	8	3	1	2	15	6	5	6	7
"acetoacetate decarboxylase activity [GO:0047602]"	0	0	0	0	1	1	1	0	1	0	0	0
"acetoacetate-CoA ligase activity [GO:0030729]"	0	4	0	1	1	0	1	1	0	2	3	5
"acetoacetyl-CoA reductase activity [GO:0018454]"	0	1	0	2	0	1	0	2	0	0	0	2
"acetoin dehydrogenase activity [GO:0019152]"	0	0	0	1	0	0	0	0	0	0	0	0
"acetolactate decarboxylase activity [GO:0047605]"	4	2	2	4	4	5	3	5	4	1	4	5
"acetolactate synthase activity [GO:0003984]"	123	148	102	366	237	259	165	300	194	81	198	192
"acetolactate synthase regulator activity [GO:1990610]"	37	43	31	124	68	82	54	96	60	26	66	53
"acetone carboxylase activity [GO:0018710]"	0	0	0	0	0	1	0	0	0	0	0	0
"acetyl-CoA C-acetyltransferase activity [GO:0003985]"	9	11	6	18	15	10	9	23	17	3	12	10
"acetyl-CoA C-acyltransferase activity [GO:0003988]"	1	2	1	3	3	8	4	6	2	1	2	5
"acetyl-CoA C-myristoyltransferase activity [GO:0050633]"	0	1	0	0	0	0	0	0	0	0	0	1
"acetyl-CoA carboxylase activity [GO:0003989]"	102	131	79	337	193	222	125	266	164	68	171	139
"acetyl-CoA hydrolase activity [GO:0003986]"	45	35	33	101	63	65	57	105	62	22	50	68
"acetyl-CoA transmembrane transporter activity [GO:0008521]"	0	2	1	0	0	0	3	0	0	4	1	3
"acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]"	37	52	41	112	85	89	54	113	72	36	61	56
"acetylcholine binding [GO:0042166]"	0	1	0	0	2	0	0	0	0	1	1	2
"acetylcholine receptor activity [GO:0015464]"	0	1	0	0	1	0	0	0	1	0	1	1
"acetylcholine receptor binding [GO:0033130]"	0	2	1	0	1	0	3	0	0	3	2	1
"acetylcholine receptor inhibitor activity [GO:0030550]"	0	0	1	0	0	0	0	0	0	0	0	0
"acetylcholine receptor regulator activity [GO:0030548]"	0	0	0	0	0	0	0	0	0	1	0	1
"acetylcholine transmembrane transporter activity [GO:0005277]"	0	0	0	0	0	0	0	0	0	0	1	0
"acetylcholine-gated cation-selective channel activity [GO:0022848]"	3	10	3	1	10	1	18	3	3	18	14	14
"acetylene hydratase activity [GO:0018818]"	8	21	7	97	20	30	75	85	25	4	50	2
"acetylesterase activity [GO:0008126]"	0	1	0	1	0	0	1	2	0	0	2	1
"acetylgalactosaminyltransferase activity [GO:0008376]"	2	11	3	0	12	0	12	7	4	12	9	11
"acetylglucosaminyltransferase activity [GO:0008375]"	2	4	1	2	6	2	4	3	2	3	4	5
"acetylglutamate kinase activity [GO:0003991]"	38	50	41	104	82	78	57	100	60	28	67	55
"acetylornithine deacetylase activity [GO:0008777]"	4	1	3	3	2	1	1	2	2	2	1	1
"acetyltransferase activator activity [GO:0010698]"	0	0	0	0	0	0	0	0	0	0	0	1
"acetyltransferase activity [GO:0016407]"	59	65	40	150	86	120	64	132	100	42	83	81
"acetylxylan esterase activity [GO:0046555]"	5	4	2	14	3	11	2	8	3	3	3	5
"acid phosphatase activity [GO:0003993]"	9	25	7	24	10	23	16	18	9	12	12	13
"acid-amino acid ligase activity [GO:0016881]"	24	29	17	38	43	38	19	52	32	13	36	28
"acid-sensing ion channel activity [GO:0044736]"	0	0	0	0	0	0	0	0	0	0	1	0
"acireductone dioxygenase (Ni2+-requiring) activity [GO:0010308]"	1	1	1	1	1	1	1	1	1	1	1	1
"acireductone dioxygenase [iron(II)-requiring] activity [GO:0010309]"	1	24	0	0	7	0	20	2	7	19	18	15
"acireductone synthase activity [GO:0043874]"	1	2	0	0	2	0	2	0	1	1	2	0
"aconitate decarboxylase activity [GO:0047613]"	0	1	0	0	0	0	0	0	0	0	1	0
"aconitate hydratase activity [GO:0003994]"	19	25	15	40	39	27	27	49	28	14	36	29
"acrosin binding [GO:0032190]"	0	0	0	0	0	0	0	0	1	0	0	0
"actin binding [GO:0003779]"	65	528	116	17	296	17	488	117	135	499	509	504
"actin filament binding [GO:0051015]"	32	252	39	5	108	3	204	64	56	242	211	254
"actin monomer binding [GO:0003785]"	3	9	1	0	7	0	9	2	3	11	7	7
"actin-dependent ATPase activity [GO:0030898]"	2	4	1	0	3	0	7	0	2	2	8	4
"actinin binding [GO:0042805]"	1	2	1	0	1	0	1	0	0	0	1	1
"activating transcription factor binding [GO:0033613]"	0	2	1	0	0	0	2	0	2	3	1	3
"activin binding [GO:0048185]"	0	0	0	0	0	0	1	0	0	2	0	0
"activin receptor activity, type I [GO:0016361]"	0	0	0	0	0	0	0	0	0	1	0	0
"activin-activated receptor activity [GO:0017002]"	0	0	0	0	0	0	1	0	0	1	0	0
"acyl binding [GO:0000035]"	1	1	1	1	1	1	1	1	1	1	1	1
"acyl carrier activity [GO:0000036]"	32	37	26	121	67	79	44	110	54	19	56	53
"acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity [GO:0008780]"	8	11	8	11	10	11	11	11	10	11	10	9
"acyl-CoA dehydrogenase activity [GO:0003995]"	72	80	61	206	114	125	87	189	110	50	105	111
"acyl-CoA hydrolase activity [GO:0047617]"	1	2	2	1	4	3	4	3	2	5	3	4
"acyl-CoA oxidase activity [GO:0003997]"	1	5	1	0	0	0	3	2	2	4	2	3
"acyl-L-homoserine-lactone lactonohydrolase activity [GO:0102007]"	0	3	0	1	3	1	1	1	3	0	3	0
"acyl-phosphate glycerol-3-phosphate acyltransferase activity [GO:0043772]"	28	23	18	94	57	77	43	83	45	16	47	43
"acylglycerol kinase activity [GO:0047620]"	0	1	0	0	0	0	0	0	0	0	0	0
"acylglycerol lipase activity [GO:0047372]"	2	8	1	3	4	2	3	3	3	6	6	5
"acyloxyacyl hydrolase activity [GO:0050528]"	0	1	0	0	1	0	1	0	0	2	0	1
"acylphosphatase activity [GO:0003998]"	14	13	8	31	14	24	10	16	15	2	23	12
"adenine binding [GO:0002055]"	1	2	2	1	1	1	2	1	1	1	3	2
"adenine deaminase activity [GO:0000034]"	31	29	29	82	44	57	33	88	56	7	43	31
"adenine phosphoribosyltransferase activity [GO:0003999]"	18	39	22	61	27	46	24	56	31	20	36	33
"adenosine deaminase activity [GO:0004000]"	39	81	29	106	73	82	51	109	63	46	68	62
"adenosine kinase activity [GO:0004001]"	0	0	0	1	2	1	0	1	0	0	1	0
"adenosine receptor binding [GO:0031685]"	0	0	0	0	0	0	0	1	0	1	0	0
"adenosylcobinamide kinase (ATP-specific) activity [GO:0036429]"	26	20	21	70	44	52	29	76	43	6	40	30
"adenosylcobinamide kinase (GTP-specific) activity [GO:0036428]"	26	20	21	70	44	52	29	76	43	6	40	30
"adenosylcobinamide kinase activity [GO:0043752]"	0	0	0	1	0	0	2	0	0	1	0	0
"adenosylcobinamide-GDP ribazoletransferase activity [GO:0051073]"	18	18	17	53	31	39	17	47	34	6	23	20
"adenosylhomocysteinase activity [GO:0004013]"	16	23	13	31	26	22	19	31	27	18	25	29
"adenosylhomocysteine nucleosidase activity [GO:0008782]"	30	35	22	89	45	68	30	68	39	15	40	39
"adenosylmethionine decarboxylase activity [GO:0004014]"	4	9	5	20	7	13	13	12	7	10	9	7
"adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]"	11	16	9	19	15	16	6	23	13	9	18	14
"adenyl ribonucleotide binding [GO:0032559]"	1	3	1	0	2	0	3	1	0	4	1	2
"adenyl-nucleotide exchange factor activity [GO:0000774]"	23	51	23	97	60	81	39	87	42	25	48	53
"adenylate cyclase activator activity [GO:0010856]"	0	0	0	0	0	0	0	0	0	1	0	0
"adenylate cyclase activity [GO:0004016]"	35	63	39	120	82	87	64	111	60	42	73	62
"adenylate cyclase binding [GO:0008179]"	1	1	0	0	0	0	0	0	0	2	1	1
"adenylate cyclase inhibiting G protein-coupled glutamate receptor activity [GO:0001640]"	0	2	0	0	0	0	1	0	1	2	1	0
"adenylate kinase activity [GO:0004017]"	32	54	29	113	62	77	51	98	53	26	46	60
"adenylosuccinate synthase activity [GO:0004019]"	51	86	55	145	87	109	70	156	101	52	67	78
"adenylyl-sulfate reductase (thioredoxin) activity [GO:0043866]"	1	1	0	1	2	2	1	2	1	1	0	0
"adenylyl-sulfate reductase activity [GO:0009973]"	0	0	0	0	1	0	0	0	0	0	0	0
"adenylylsulfate kinase activity [GO:0004020]"	12	22	12	37	25	21	17	33	26	11	19	24
"adenylyltransferase activity [GO:0070566]"	0	6	1	12	6	8	1	11	7	3	5	3
"ADP binding [GO:0043531]"	5	29	10	28	16	28	25	36	26	20	18	30
"ADP transmembrane transporter activity [GO:0015217]"	0	0	0	0	0	0	0	0	0	0	1	0
"ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]"	47	69	31	150	86	103	62	137	87	32	76	77
"ADP-glyceromanno-heptose 6-epimerase activity [GO:0008712]"	3	6	2	12	3	6	4	7	5	5	5	5
"ADP-ribose diphosphatase activity [GO:0047631]"	5	13	3	18	11	13	20	19	8	8	10	10
"ADP-ribosyl-[dinitrogen reductase] hydrolase activity [GO:0047407]"	0	1	1	5	2	4	0	2	2	0	0	3
"ADP-ribosylarginine hydrolase activity [GO:0003875]"	0	0	0	0	0	0	1	1	0	1	0	0
"ADP-ribosylglutamate hydrolase activity [GO:0140293]"	0	0	0	0	1	0	0	0	0	1	0	0
"ADP-ribosylserine hydrolase activity [GO:0140292]"	0	0	0	0	0	0	1	0	0	1	0	0
"ADP-specific glucokinase activity [GO:0043843]"	0	0	0	0	0	0	0	0	0	0	0	2
"AF-2 domain binding [GO:0050682]"	0	1	0	0	1	0	1	1	0	0	2	0
"agmatinase activity [GO:0008783]"	1	2	2	5	3	5	1	4	2	0	3	1
"agmatine deiminase activity [GO:0047632]"	8	9	7	19	5	18	8	13	4	7	4	6
"alanine dehydrogenase activity [GO:0000286]"	10	14	6	29	11	16	10	26	10	12	11	19
"alanine racemase activity [GO:0008784]"	77	103	65	217	149	161	108	204	140	55	113	124
"alanine-glyoxylate transaminase activity [GO:0008453]"	0	1	0	0	2	0	1	0	0	2	1	1
"alanine-tRNA ligase activity [GO:0004813]"	100	150	93	300	182	256	131	315	158	86	160	183
"alanine:sodium symporter activity [GO:0015655]"	92	131	80	282	179	200	102	265	145	54	154	164
"alanylglutamate dipeptidase activity [GO:0103046]"	5	6	3	14	9	12	6	14	8	3	6	6
"alcohol dehydrogenase (NAD+) activity [GO:0004022]"	40	52	37	116	75	99	46	105	66	25	69	53
"alcohol dehydrogenase (NADP+) activity [GO:0008106]"	0	2	0	2	2	3	0	2	1	2	1	3
"alcohol dehydrogenase activity, zinc-dependent [GO:0004024]"	0	2	0	0	1	0	1	0	0	2	1	0
"alcohol-forming fatty acyl-CoA reductase activity [GO:0102965]"	0	6	1	0	2	0	6	0	0	5	6	5
"aldehyde dehydrogenase (FAD-independent) activity [GO:0033727]"	2	1	3	1	1	1	5	8	2	1	2	1
"aldehyde dehydrogenase (NAD+) activity [GO:0004029]"	1	5	0	2	1	0	4	4	0	5	3	7
"aldehyde dehydrogenase (NADP+) activity [GO:0033721]"	0	0	0	0	0	0	0	0	0	0	2	0
"aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]"	1	1	1	1	3	1	1	3	2	0	1	0
"aldehyde ferredoxin oxidoreductase activity [GO:0033726]"	0	0	1	5	5	5	2	5	4	1	0	2
"aldehyde oxidase activity [GO:0004031]"	1	3	1	1	2	0	3	1	2	5	7	6
"aldehyde-lyase activity [GO:0016832]"	99	102	91	253	137	214	95	250	149	47	135	137
"alditol:NADP+ 1-oxidoreductase activity [GO:0004032]"	0	4	2	0	1	0	2	1	1	5	4	1
"aldo-keto reductase (NADP) activity [GO:0004033]"	1	2	0	0	1	0	0	1	0	1	1	0
"aldose 1-epimerase activity [GO:0004034]"	42	78	42	123	87	92	56	135	70	42	77	71
"aliphatic nitrilase activity [GO:0018762]"	0	1	0	0	0	0	0	0	0	0	0	0
"alkaline phosphatase activity [GO:0004035]"	6	17	8	6	12	6	15	9	8	23	18	13
"alkane 1-monooxygenase activity [GO:0018685]"	0	0	0	0	1	1	2	0	0	2	2	0
"alkyl hydroperoxide reductase activity [GO:0008785]"	6	4	5	4	4	4	4	4	7	3	5	6
"alkyl sulfatase activity [GO:0018741]"	5	2	8	9	9	10	4	11	8	2	13	4
"alkylbase DNA N-glycosylase activity [GO:0003905]"	14	14	7	46	22	23	10	39	20	9	17	20
"alkylglycerone-phosphate synthase activity [GO:0008609]"	0	2	1	0	0	0	2	1	0	2	0	2
"alkylhydroperoxide reductase activity [GO:0102039]"	9	5	8	11	7	11	5	11	7	3	5	7
"alkylmercury lyase activity [GO:0018836]"	1	1	1	1	4	1	0	0	1	0	1	0
"all-trans retinal binding [GO:0005503]"	0	0	0	0	0	0	0	0	1	0	0	0
"all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity [GO:0052923]"	1	1	1	1	1	1	1	1	1	1	1	1
"all-trans-retinol 13,14-reductase activity [GO:0051786]"	0	0	0	0	1	0	0	0	0	0	0	0
"all-trans-retinol binding [GO:1904768]"	0	0	0	0	0	0	0	0	1	0	0	0
"all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity [GO:0052885]"	0	0	0	0	0	0	0	0	0	1	0	0
"all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity [GO:0052884]"	0	0	0	0	0	0	0	0	0	1	0	0
"all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity [GO:0047376]"	3	1	1	0	1	0	1	1	0	2	1	0
"allantoinase activity [GO:0004038]"	8	6	10	18	13	14	9	17	14	3	13	13
"allophanate hydrolase activity [GO:0004039]"	0	0	0	0	0	0	0	0	0	0	1	0
"allose kinase activity [GO:0008787]"	0	0	0	1	2	2	1	0	2	0	2	0
"allulose 6-phosphate 3-epimerase activity [GO:0034700]"	0	0	0	0	0	1	1	0	0	0	1	1
"allyl-alcohol dehydrogenase activity [GO:0047655]"	0	3	1	0	0	0	1	0	1	2	1	1
"alpha-(1->3)-fucosyltransferase activity [GO:0046920]"	0	0	0	0	0	0	1	0	0	0	0	0
"alpha-1,2-mannosyltransferase activity [GO:0000026]"	0	1	0	0	0	0	0	0	0	0	0	0
"alpha-1,3-mannosyltransferase activity [GO:0000033]"	0	0	0	0	1	0	0	0	0	0	0	2
"alpha-1,4-glucan synthase activity [GO:0033201]"	55	84	45	171	113	132	57	151	97	48	86	97
"alpha-1,4-glucosidase activity [GO:0004558]"	0	0	0	0	0	0	1	0	0	0	1	0
"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity [GO:0008455]"	0	1	0	0	0	0	0	0	0	0	0	0
"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity [GO:0030144]"	1	11	0	0	1	0	3	1	2	8	6	7
"alpha-1,6-mannosyltransferase activity [GO:0000009]"	0	4	1	3	3	6	4	6	3	2	1	4
"alpha-2 macroglobulin receptor activity [GO:0016964]"	0	0	0	0	1	0	1	0	0	0	1	0
"alpha-2A adrenergic receptor binding [GO:0031694]"	1	0	0	0	0	0	0	0	0	0	1	0
"alpha-2B adrenergic receptor binding [GO:0031695]"	1	0	0	0	0	0	0	0	0	0	1	0
"alpha-2C adrenergic receptor binding [GO:0031696]"	1	0	0	0	0	0	0	0	0	0	1	0
"alpha-actinin binding [GO:0051393]"	1	1	1	0	1	0	1	1	1	3	6	4
"alpha-amylase activity (releasing maltohexaose) [GO:0103025]"	13	34	15	33	28	38	24	39	24	24	25	33
"alpha-amylase activity [GO:0004556]"	22	45	22	41	31	47	29	48	30	29	31	45
"alpha-catenin binding [GO:0045294]"	1	7	2	0	1	0	6	3	1	9	8	7
"alpha-D-xyloside xylohydrolase [GO:0061634]"	11	19	8	29	15	27	8	27	21	8	28	7
"alpha-galactosidase activity [GO:0004557]"	22	34	12	43	28	30	23	39	28	13	36	17
"alpha-glucosidase activity [GO:0090599]"	0	1	0	0	0	0	0	0	0	1	1	1
"alpha-glucuronidase activity [GO:0046559]"	10	13	3	21	11	15	6	15	14	10	12	14
"alpha-ketoacid dehydrogenase activity [GO:0003826]"	0	2	0	0	0	0	1	0	1	4	2	1
"alpha-ketoglutarate transmembrane transporter activity [GO:0015139]"	0	0	0	0	0	0	0	1	0	0	0	0
"alpha-L-arabinofuranosidase activity [GO:0046556]"	54	99	53	124	85	101	81	128	68	75	82	89
"alpha-L-fucosidase activity [GO:0004560]"	73	132	69	234	117	207	114	167	108	122	99	141
"alpha-L-rhamnosidase activity [GO:0030596]"	93	89	84	179	108	148	120	108	102	61	122	77
"alpha-mannosidase activity [GO:0004559]"	62	153	47	198	89	141	65	154	68	87	72	146
"alpha-methylacyl-CoA racemase activity [GO:0008111]"	0	0	0	0	0	0	0	0	0	1	0	0
"alpha-N-acetylgalactosaminidase activity [GO:0008456]"	2	3	1	11	1	5	1	8	1	3	1	2
"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity [GO:0001665]"	0	2	0	0	1	0	1	0	0	1	1	2
"alpha-N-acetylglucosaminidase activity [GO:0004561]"	0	1	0	0	0	0	0	0	0	0	0	0
"alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]"	0	1	0	0	1	0	0	1	0	1	0	1
